Zip Code,City,State,Household Income,White Population,Black Population,Hispanic Population,Size,Overall Crime,Violent Crime,Rent Amount,Average House Price,Price/Rent,Projected Growth (1yr)
75771,Lindale,TX,7558,84.81936448937039%,5.570917002855718%,9.6097185077739%,6080,A-,A-,1464.4444444444443,305276.5111230757,17.371576884848768,2.2%
74063,Sand Springs,OK,11895,92.04480729067781%,1.8720334156066072%,6.083159293715588%,3546,A,B-,1097.0833333333333,218512.84626973452,16.598013389269617,2.1%
53562,Middleton,WI,12857,89.66937464575855%,2.9095031173247685%,7.421122236916683%,3902,A-,A,1685.05,572867.5646600028,28.330888532486814,1.8%
46201,Indianapolis,IN,13488,59.06102132366497%,23.025871074786455%,17.913107601548578%,3595,F,F,1032.353139235492,144886.52924103165,11.695491569574664,2.0%
80503,Longmont,CO,14907,89.44634735246224%,0.8843843000729968%,9.669268347464765%,2415,A,A+,2002.589316239316,757957.2539048977,31.54071779963826,0.1%
27521,Coats,NC,2713,75.49544336756836%,8.520179372197308%,15.984377260234343%,12635,B+,C,1495.0,241018.3767384543,13.434692125889315,3.3%
33947,Rotonda West,FL,4912,97.5330125908486%,0.5220595762104617%,1.9449278329409359%,10026,A-,B-,2487.3333333333335,413105.07720536576,13.840293393371944,1.8%
32206,Jacksonville,FL,7027,26.16060225846926%,67.89836888331241%,5.941028858218319%,7222,F,F,1230.5962962962965,130815.94343737529,8.858574215273366,3.3%
91342,Los Angeles,CA,24927,35.50037434489643%,3.1293450746907197%,61.37028058041285%,37,C,B-,2639.8888888888887,795868.1078325423,25.123156735317426,1.1%
15205,Crafton,PA,11200,85.15720425243157%,11.911332277765212%,2.9314634698032123%,5986,D+,C+,1391.4632414369255,199927.1591299557,11.973436378353794,0.2%
19102,Philadelphia,PA,3847,89.62699077954736%,4.526404023470243%,5.846605196982398%,12715,F,F,2169.7446393762184,348127.04627348785,13.370507599363213,0.7%
10031,New York,NY,22037,22.447990696472413%,27.319421113839%,50.232588189688585%,476,F,F,2773.6892551892547,525154.8778908233,15.777869279706282,-0.1%
06355,Groton,CT,5372,95.66826098727552%,1.5612309358361158%,2.7705080768883676%,9300,F,D-,2950.0,522338.3546375865,14.755320752474196,3.2%
91006,Arcadia,CA,10626,56.95166320166321%,2.6182432432432434%,40.430093555093556%,2825,A,B+,3381.6666666666665,1392783.6426537547,34.32192318023053,2.0%
14624,Rochester,NY,15478,83.62361037586025%,10.161461090524087%,6.214928533615669%,2396,D-,F,1710.0,232909.55622716493,11.350368237191272,4.8%
17268,Waynesboro,PA,11619,89.71477369769428%,3.3168232280102474%,6.968403074295473%,3449,B+,B,1244.1666666666667,252461.61742446173,16.90968636466589,0.4%
60438,Lansing,IL,11327,35.265409814146274%,45.53081962829255%,19.20377055756117%,3576,D,C-,1524.4444444444443,184504.37951711824,10.085880804507193,-0.1%
54902,Oshkosh,WI,9729,94.88911290322581%,2.4949596774193545%,2.6159274193548385%,5644,D,C-,1052.3809523809523,202944.5531617067,16.07027004674148,2.2%
21740,Hagerstown,MD,24818,73.26321707926114%,17.940831142200395%,8.795951778538473%,321,D,D+,1282.7946127946127,272274.0565084247,17.687558462383556,2.0%
40241,Louisville,KY,13146,83.05732484076434%,11.206652512384995%,5.736022646850673%,3342,A+,A+,1518.1666666666667,383348.18144912575,21.042275850758905,0.5%
43615,Toledo,OH,18567,69.25698520461984%,26.628979470395713%,4.114035324984448%,2017,B-,D,1240.4682539682537,159400.33101077686,10.708344107212184,0.9%
06606,Bridgeport,CT,19024,49.76619261091359%,21.434920389550165%,28.79888699953625%,1006,D+,D,2667.222222222222,340925.1045368935,10.651690414608213,3.2%
73012,Edmond,OK,15093,81.97076626225783%,9.615943752808395%,8.413289984933787%,1645,A+,A+,1739.3799533799536,324307.74971122475,15.537517123129218,0.8%
33596,Valrico,FL,9982,75.20591126326136%,8.341524590719587%,16.45256414601905%,3486,A,A+,2654.097222222222,479129.7200239184,15.043712918409746,3.0%
18509,Scranton,PA,5197,82.89327712447304%,6.367872198801863%,10.738850676725093%,8485,D-,D-,1380.0,188290.00020571132,11.370169094547785,1.6%
03833,Exeter,NH,9115,96.47662056637502%,0.9690469470317056%,2.5543324865932826%,5502,C+,B,2400.0,592506.6644344158,20.573148070639437,1.4%
29841,North Augusta,SC,14167,73.7066816255298%,19.907753677387184%,6.385564697083022%,3085,C,C-,1286.8333333333333,206099.9511201278,13.346713581150615,2.2%
28443,Hampstead,NC,9426,90.8808418959231%,5.013258203513423%,4.1058999005634735%,5123,D,A-,2049.4444444444443,477015.10786003916,19.39611444266898,3.1%
